ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
1438	l ɛɪ s t	*līstōn	l ɛɪ s t ( - - )	lɛɪst	lijst	393	Dutch			
1439	s k eu b a n a n	*skeubanan	s k eu b a n ( a n )	skeubanan	*skeubanan	394	Proto-Germanic			
1440	ʃ iː b ə n	*skeubanan	ʃ - iː b ə n ( - - )	ʃiːbən	schieben	394	German			
1441	ʃ ʌ v	*skeubanan	ʃ - ʌ v - - ( - - )	ʃʌv	shove	394	English			
1442	s x œy v ə	*skeubanan	s x œy v ə - ( - - )	sxœyvə	schuiven	394	Dutch			
1443	x e l p a n a n	*xelpanan	x e l p a n ( a n )	xelpanan	*xelpanan	395	Proto-Germanic			
1444	h ɛ l f ə n	*xelpanan	h ɛ l f ə n ( - - )	hɛlfən	helfen	395	German			
1445	h ɛ l p	*xelpanan	h ɛ l p - - ( - - )	hɛlp	help	395	English			
1446	h ɛ l p ə	*xelpanan	h ɛ l p ə - ( - - )	hɛlpə	helpen	395	Dutch			
1447	f u l oː n	*fulōn	f u l ( oː n )	fuloːn	*fulōn	396	Proto-Germanic		C V C	
1448	f oː l ə n	*fulōn	f oː l ( ə n )	foːlən	Fohlen	396	German			
1449	f əʊ l	*fulōn	f əʊ l ( - - )	fəʊl	foal	396	English			
1450	b i d j a n a n	*bidjanan	b i d j a n ( a n )	bidjanan	*bidjanan	397	Proto-Germanic		C V c c v c	
1451	b ɪ t ə n	*bidjanan	b ɪ t - ə n ( - - )	bɪtən	bitten	397	German			
1452	b ɪ d	*bidjanan	b ɪ d - - - ( - - )	bɪd	bid	397	English			
1453	b ɪ d ə	*bidjanan	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch			
1454	m a k oː j a n a n	*makōjanan	m a k ( oː ) j a n ( a n )	makoːjanan	*makōjanan	398	Proto-Germanic		C V c c v c	
1455	m a x ə n	*makōjanan	m a x ( - ) - ə n ( - - )	maxən	machen	398	German			
1456	m eɪ k	*makōjanan	m eɪ k ( - ) - - - ( - - )	meɪk	make	398	English			
1457	m aː k ə	*makōjanan	m aː k ( - ) - ə - ( - - )	maːkə	maken	398	Dutch			
1458	s u x t i z	*suxtiz	s u x t ( i z )	suxtiz	*suxtiz	399	Proto-Germanic			
1459	z ʊ x t	*suxtiz	z ʊ x t ( - - )	zʊxt	Sucht	399	German			
1460	z ʉ x t	*suxtiz	z ʉ x t ( - - )	zʉxt	zucht	399	Dutch			
1461	r u g i z	*rugiz	r u g i ( z )	rugiz	*rugiz	400	Proto-Germanic			
1462	r ɔ ɡ ə n	*rugiz	r ɔ ɡ ə ( n )	rɔɡən	Roggen	400	German			
1463	r aɪ	*rugiz	r aɪ - - ( - )	raɪ	rye	400	English			
1464	r ɔ ɣ ə	*rugiz	r ɔ ɣ ə ( - )	rɔɣə	rogge	400	Dutch			
1465	x a l i θ z	*xaliθz	x a l i θ ( z )	xaliθz	*xaliθz	401	Proto-Germanic			
1466	h ɛ l t	*xaliθz	h ɛ l - d ( - )	hɛlt	Held	401	German			
1467	h ɛ l t	*xaliθz	h ɛ l - t ( - )	hɛlt	held	401	Dutch			
1468	r eu k a n a n	*reukanan	r eu k a n ( a n )	reukanan	*reukanan	402	Proto-Germanic			
1469	r iː x ə n	*reukanan	r iː x ə n ( - - )	riːxən	riechen	402	German			
1470	r œy k ə	*reukanan	r œy k ə - ( - - )	rœykə	ruiken	402	Dutch			
1471	l a n d iː n	*landīn	l a n d ( iː n )	landiːn	*landīn	403	Proto-Germanic		C V C C	
1472	l ɛ n d ə	*landīn	l ɛ n d ( ə - )	lɛndə	Lende	403	German			
1473	l ɛ n d ə	*landīn	l ɛ n d ( ə - )	lɛndə	lende	403	Dutch			
1474	s p r u t oː n	*sprutōn	s p - r u t oː ( n )	sprutoːn	*sprutōn	404	Proto-Germanic			
1475	ʃ p r ɔ s ə	*sprutōn	ʃ p - r ɔ s ə ( - )	ʃprɔsə	Sprosse	404	German			
1476	s p ɔ r t	*sprutōn	s p ɔ r - t - ( - )	spɔrt	sport	404	Dutch			
1477	g l oː d i z	*glōdiz	g l oː d ( i z )	gloːdiz	*glōdiz	405	Proto-Germanic		C C V C	
1478	ɡ l uː t	*glōdiz	ɡ l uː t ( - - )	ɡluːt	Glut	405	German			
1479	x l uː t	*glōdiz	x l uː t ( - - )	xluːt	gloed	405	Dutch			
1480	f u r x t iː n	*furxtīn	f u r - x t ( iː n )	furxtiːn	*furxtīn	406	Proto-Germanic		C V C C C	
1481	f ʊ r x t	*furxtīn	f ʊ r - x t ( - - )	fʊrxt	Furcht	406	German			
1482	f r aɪ t	*furxtīn	f - r aɪ - t ( - - )	fraɪt	fright	406	English			
1483	w u lː o	*wullo	w u lː o	wullo	*wullo	407	Proto-Germanic			
1484	v ɔ l ə	*wullo	v ɔ l ə	vɔlə	Wolle	407	German			
1485	ʋ ʊ l	*wullo	ʋ ʊ l -	ʋʊl	wool	407	English			
1486	ʋ ɔ l	*wullo	ʋ ɔ l -	ʋɔl	wol	407	Dutch			
1487	s ai	*sai	s ai	sai	*sai	408	Proto-Germanic			
1488	z eː	*sai	z eː	zeː	See	408	German			
1489	s iː	*sai	s iː	siː	sea	408	English			
1490	z eː	*sai	z eː	zeː	zee	408	Dutch			
1491	w e s l o n	*weslon	w e s - l ( o n )	weslon	*weslon	409	Proto-Germanic			
1492	v iː z ə l	*weslon	v iː z ə l ( - - )	viːzəl	Wiesel	409	German			
1493	ʋ iː z ə l	*weslon	ʋ iː z ə l ( - - )	ʋiːzḷ	weasel	409	English			
1494	ʋ eː z ə l	*weslon	ʋ eː z ə l ( - - )	ʋeːzəl	wezel	409	Dutch			
1495	r eu m oː n	*reumōn	r eu m oː ( n )	reumoːn	*reumōn	410	Proto-Germanic			
1496	r iː m ə n	*reumōn	r iː m ə ( n )	riːmən	Riemen	410	German			
1497	r iː m	*reumōn	r iː m - ( - )	riːm	riem	410	Dutch			
1498	s uː g a n a n	*sūganan	s uː g a n ( a n )	suːganan	*sūganan	411	Proto-Germanic			
1499	z au ɡ ə n	*sūganan	z au ɡ ə n ( - - )	zauɡən	saugen	411	German			
1500	z œy ɣ ə	*sūganan	z œy ɣ ə - ( - - )	zœyɣə	zuigen	411	Dutch			
1501	s p r ai d j a n a n	*spraidjanan	s p r ai d j a n ( a n )	spraidjanan	*spraidjanan	412	Proto-Germanic			
1502	ʃ p r ai t ə n	*spraidjanan	ʃ p r ai t - ə n ( - - )	ʃpraitən	spreiten	412	German			
1503	s p r ɛ d	*spraidjanan	s p r ɛ d - - - ( - - )	sprɛd	spread	412	English			
1504	s p r ɛɪ d ə	*spraidjanan	s p r ɛɪ d - ə - ( - - )	sprɛɪdə	spreiden	412	Dutch			
1505	k r a f t i z	*kraftiz	k r a f t ( i z )	kraftiz	*kraftiz	413	Proto-Germanic		C C V C C	
1506	k r a f t	*kraftiz	k r a f t ( - - )	kraft	Kraft	413	German			
1507	k r ɑː f t	*kraftiz	k r ɑː f t ( - - )	krɑːft	craft	413	English			
1508	k r ɑ x t	*kraftiz	k r ɑ x t ( - - )	krɑxt	kracht	413	Dutch			
1509	x e r θ a z	*xerθaz	x e r θ ( a z )	xerθaz	*xerθaz	414	Proto-Germanic			
1510	h eː r t	*xerθaz	h eː r d ( - - )	heːrt	Herd	414	German			
1511	h ɑː θ	*xerθaz	h ɑː - θ ( - - )	hɑːθ	hearth	414	English			
1512	h aː r t	*xerθaz	h aː r t ( - - )	haːrt	haard	414	Dutch			
1517	d a w oː	*dawwō	d - a w ( oː )	dawwoː	*dawwō	416	Proto-Germanic		C - V C	
1518	t au	*dawwō	t - au - ( - )	tau	Tau	416	German			
1519	d j uː	*dawwō	d j uː - ( - )	djuː	dew	416	English			
1520	d ɑu ʋ	*dawwō	d - ɑu ʋ ( - )	dɑuʋ	dauw	416	Dutch			
1521	k l i b eː n a n	*klibēnan	k l i b eː n ( a n )	klibeːnan	*klibēnan	417	Proto-Germanic		C C v c v c	
1522	k l eː b ə n	*klibēnan	k l eː b ə n ( - - )	kleːbən	kleben	417	German			
1523	k l eː v ə	*klibēnan	k l eː v ə - ( - - )	kleːvə	kleven	417	Dutch			
1524	w u l f a z	*wulfaz	w u l f ( a z )	wulfaz	*wulfaz	418	Proto-Germanic			
1525	v ɔ l f	*wulfaz	v ɔ l f ( - - )	vɔlf	Wolf	418	German			
1526	ʋ ʊ l f	*wulfaz	ʋ ʊ l f ( - - )	ʋʊlf	wolf	418	English			
1527	ʋ ɔ l f	*wulfaz	ʋ ɔ l f ( - - )	ʋɔlf	wolf	418	Dutch			
1528	x a r b i s t u z	*xarbistuz	x a r b i s t ( u z )	xarbistuz	*xarbistuz	419	Proto-Germanic			
1529	h ɛ r p s t	*xarbistuz	h ɛ r p - s t ( - - )	hɛrpst	Herbst	419	German			
1530	h ɑː v ɪ s t	*xarbistuz	h ɑː - v ɪ s t ( - - )	hɑːvɪst	harvest	419	English			
1531	h ɛ r f s t	*xarbistuz	h ɛ r f - s t ( - - )	hɛrfst	herfst	419	Dutch			
1532	b e r g a n a n	*berganan	b e r g a n ( a n )	berganan	*berganan	420	Proto-Germanic		C V C c v c	
1533	b ɛ r ɡ ə n	*berganan	b ɛ r ɡ ə n ( - - )	bɛrɡən	bergen	420	German			
1534	b ɛ r ɣ ə	*berganan	b ɛ r ɣ ə - ( - - )	bɛrɣə	bergen	420	Dutch			
1535	s a l i z	*saliz	s a l ( i z )	saliz	*saliz	421	Proto-Germanic			
1536	z aː l	*saliz	z aː l ( - - )	zaːl	Saal	421	German			
1537	z aː l	*saliz	z aː l ( - - )	zaːl	zaal	421	Dutch			
1538	n a x t z	*naxtz	n a x t ( z )	naxtz	*naxtz	422	Proto-Germanic			
1539	n a x t	*naxtz	n a x t ( - )	naxt	Nacht	422	German			
1540	n aɪ t	*naxtz	n aɪ - t ( - )	naɪt	night	422	English			
1541	n ɑ x t	*naxtz	n ɑ x t ( - )	nɑxt	nacht	422	Dutch			
1542	r a θ j oː	*raθjō	r a θ j oː	raθjoː	*raθjō	423	Proto-Germanic			
1543	r eː d ə	*raθjō	r eː d - ə	reːdə	Rede	423	German			
1544	r eː d ə	*raθjō	r eː d - ə	reːdə	rede	423	Dutch			
1545	eː d m a z	*ēdmaz	eː d - m ( a z )	eːdmaz	*ēdmaz	424	Proto-Germanic		V C - C	
1546	aː t ə m	*ēdmaz	aː t ə m ( - - )	aːtəm	Atem	424	German			
1547	aː d ə m	*ēdmaz	aː d ə m ( - - )	aːdəm	adem	424	Dutch			
1548	r e n d oː	*rendō	r e n d oː	rendoː	*rendō	425	Proto-Germanic			
1549	r ɪ n d ə	*rendō	r ɪ n d ə	rɪndə	Rinde	425	German			
1550	r aɪ n d	*rendō	r aɪ n d -	raɪnd	rind	425	English			
1551	l a b a z	*labbaz	l a b ( a z )	labbaz	*labbaz	426	Proto-Germanic		C V C	
1552	l a p ə n	*labbaz	l a p ( ə n )	lapən	Lappen	426	German			
1553	l æ p	*labbaz	l æ p ( - - )	læp	lap	426	English			
1554	l ɑ p	*labbaz	l ɑ p ( - - )	lɑp	lap	426	Dutch			
1555	w i r a + a l d i z	*wira-aldiz	w i r a l d ( i z )	wira+aldiz	*wira-aldiz	427	Proto-Germanic			
1556	v ɛ l t	*wira-aldiz	v ɛ - - l t ( - - )	vɛlt	Welt	427	German			
1557	ʋ ɜː l d	*wira-aldiz	ʋ ɜː - - l d ( - - )	ʋɜːld	world	427	English			
1558	ʋ eː r ə l t	*wira-aldiz	ʋ eː r ə l t ( - - )	ʋeːrəlt	wereld	427	Dutch			
1559	w e r p a n a n	*werpanan	w e r p a n ( a n )	werpanan	*werpanan	428	Proto-Germanic			
1560	v ɛ r f ə n	*werpanan	v ɛ r f ə n ( - - )	vɛrfən	werfen	428	German			
1561	ʋ ɔː p	*werpanan	ʋ ɔː - p - - ( - - )	ʋɔːp	warp	428	English			
1562	ʋ ɛ r p ə	*werpanan	ʋ ɛ r p ə - ( - - )	ʋɛrpə	werpen	428	Dutch			
1563	l u f t u z	*luftuz	l u f t ( u z )	luftuz	*luftuz	429	Proto-Germanic		C V C C	
1564	l ʊ f t	*luftuz	l ʊ f t ( - - )	lʊft	Luft	429	German			
1565	l ʉ x t	*luftuz	l ʉ x t ( - - )	lʉxt	lucht	429	Dutch			
1566	s e n gʷ a n a n	*sengwanan	s e n gʷ a n ( a n )	sengwanan	*sengwanan	430	Proto-Germanic			
1567	z ɪ ŋ ə n	*sengwanan	z ɪ ŋ - ə n ( - - )	zɪŋən	singen	430	German			
1568	s ɪ ŋ	*sengwanan	s ɪ ŋ - - - ( - - )	sɪŋ	sing	430	English			
1569	z ɪ ŋ ə	*sengwanan	z ɪ ŋ - ə - ( - - )	zɪŋə	zingen	430	Dutch			
1570	n e m a n a n	*nemanan	n e m a n ( a n )	nemanan	*nemanan	431	Proto-Germanic			
1571	n eː m ə n	*nemanan	n eː m ə n ( - - )	neːmən	nehmen	431	German			
1572	n eː m ə	*nemanan	n eː m ə - ( - - )	neːmə	nemen	431	Dutch			
1573	m a x t i z	*maxtiz	m a x t ( i z )	maxtiz	*maxtiz	432	Proto-Germanic		C V C C	
1574	m a x t	*maxtiz	m a x t ( - - )	maxt	Macht	432	German			
1575	m aɪ t	*maxtiz	m aɪ - t ( - - )	maɪt	might	432	English			
1576	m ɑ x t	*maxtiz	m ɑ x t ( - - )	mɑxt	macht	432	Dutch			
1577	n a g l a z	*naglaz	n a g - l ( a z )	naglaz	*naglaz	433	Proto-Germanic			
1578	n aː ɡ ə l	*naglaz	n aː ɡ ə l ( - - )	naːɡəl	Nagel	433	German			
1579	n eɪ l	*naglaz	n eɪ - - l ( - - )	neɪl	nail	433	English			
1580	n aː ɣ ə l	*naglaz	n aː ɣ ə l ( - - )	naːɣəl	nagel	433	Dutch			
1581	d oː n a n	*dōnan	d oː - n ( a n )	doːnan	*dōnan	434	Proto-Germanic		C V - C	
1582	t uː n	*dōnan	t uː ə n ( - - )	tuːn	tun	434	German			
1583	d uː	*dōnan	d uː - - ( - - )	duː	do	434	English			
1584	d uː n	*dōnan	d uː - n ( - - )	duːn	doen	434	Dutch			
1585	f u w e r	*fuwer	f u w e r	fuwer	*fuwer	435	Proto-Germanic		C V c v c	
1586	f ɔy ə r	*fuwer	f ɔy - ə r	fɔyər	Feuer	435	German			
1587	f aɪ ə r	*fuwer	f aɪ - ə r	faɪər	fire	435	English			
1588	v yː r	*fuwer	v yː - - r	vyːr	vuur	435	Dutch			
1589	t ai k n a n	*taiknan	t ai k - n ( a n )	taiknan	*taiknan	436	Proto-Germanic			
1590	ts ai x ə n	*taiknan	ts ai x ə n ( - - )	t͡saixən	Zeichen	436	German			
1591	t əʊ k ə n	*taiknan	t əʊ k ə n ( - - )	təʊkən	token	436	English			
1592	t eː k ə	*taiknan	t eː k ə - ( - - )	teːkə	teken	436	Dutch			
1593	l i z n oː j a n a n	*liznōjanan	l i z n ( oː ) j a n ( a n )	liznoːjanan	*liznōjanan	437	Proto-Germanic		C V C c c v c	
1594	l ɛ r n ə n	*liznōjanan	l ɛ r n ( - ) - ə n ( - - )	lɛrnən	lernen	437	German			
1595	l ɜː n	*liznōjanan	l ɜː - n ( - ) - - - ( - - )	lɜːn	learn	437	English			
1596	l i kː oː j a n a n	*likkōjanan	l i kː ( oː ) j a n ( a n )	likkoːjanan	*likkōjanan	438	Proto-Germanic		C V c c v c	
1597	l ɛ k ə n	*likkōjanan	l ɛ k ( - ) - ə n ( - - )	lɛkən	lecken	438	German			
1598	l ɪ k	*likkōjanan	l ɪ k ( - ) - - - ( - - )	lɪk	lick	438	English			
1599	l ɪ k ə	*likkōjanan	l ɪ k ( - ) - ə - ( - - )	lɪkə	likken	438	Dutch			
1600	s l iː p a n a n	*slīpanan	s l iː p a n ( a n )	sliːpanan	*slīpanan	439	Proto-Germanic			
1601	ʃ l ai f ə n	*slīpanan	ʃ l ai f ə n ( - - )	ʃlaifən	schleifen	439	German			
1602	s l ɛɪ p ə	*slīpanan	s l ɛɪ p ə - ( - - )	slɛɪpə	slijpen	439	Dutch			
1603	s k a n d oː	*skandō	s k a n d oː	skandoː	*skandō	440	Proto-Germanic			
1604	ʃ a n d ə	*skandō	ʃ - a n d ə	ʃandə	Schande	440	German			
1605	s x ɑ n d ə	*skandō	s x ɑ n d ə	sxɑndə	schande	440	Dutch			
1606	s a n g j a n a n	*sangjanan	s a n g j a n ( a n )	sangjanan	*sangjanan	441	Proto-Germanic			
1607	z ɛ ŋ ə n	*sangjanan	z ɛ ŋ - - ə n ( - - )	zɛŋən	sengen	441	German			
1608	s ɪ n ʤ	*sangjanan	s ɪ n ʤ - - - ( - - )	sɪnʤ	singe	441	English			
1609	z ɛ ŋ ə	*sangjanan	z ɛ ŋ - - ə - ( - - )	zɛŋə	zengen	441	Dutch			
1610	p l e g a n a n	*pleganan	p l e g a n ( a n )	pleganan	*pleganan	442	Proto-Germanic			
1611	pf l eː ɡ ə n	*pleganan	pf l eː ɡ ə n ( - - )	p͡fleːɡən	pflegen	442	German			
1612	p l eː ɣ ə	*pleganan	p l eː ɣ ə - ( - - )	pleːɣə	plegen	442	Dutch			
1613	g a s t i z	*gastiz	g a s t ( i z )	gastiz	*gastiz	443	Proto-Germanic		C V C C	
1614	ɡ a s t	*gastiz	ɡ a s t ( - - )	ɡast	Gast	443	German			
1615	ɡ ɛ s t	*gastiz	ɡ ɛ s t ( - - )	ɡɛst	guest	443	English			
1616	x ɑ s t	*gastiz	x ɑ s t ( - - )	xɑst	gast	443	Dutch			
1617	m oː d eː r	*mōdēr	m oː d eː r	moːdeːr	*mōdēr	444	Proto-Germanic		C V c v c	
1618	m ʊ t ə r	*mōdēr	m ʊ t ə r	mʊtər	Mutter	444	German			
1619	m ʌ ð ə r	*mōdēr	m ʌ ð ə r	mʌðər	mother	444	English			
1620	m uː d ə r	*mōdēr	m uː d ə r	muːdər	moeder	444	Dutch			
1621	x u f a n	*xufan	x u f ( a n )	xufan	*xufan	445	Proto-Germanic			
1622	h oː f	*xufan	h oː f ( - - )	hoːf	Hof	445	German			
1623	h ɔ f	*xufan	h ɔ f ( - - )	hɔf	hof	445	Dutch			
1624	s t a m n a z	*stamnaz	s t a m ( n a z )	stamnaz	*stamnaz	446	Proto-Germanic			
1625	ʃ t a m	*stamnaz	ʃ t a m ( - - - )	ʃtam	Stamm	446	German			
1626	s t ɛ m	*stamnaz	s t ɛ m ( - - - )	stɛm	stem	446	English			
1627	s t ɑ m	*stamnaz	s t ɑ m ( - - - )	stɑm	stam	446	Dutch			
1628	s w a n a z	*swanaz	s w a n ( a z )	swanaz	*swanaz	447	Proto-Germanic			
1629	ʃ v aː n	*swanaz	ʃ v aː n ( - - )	ʃvaːn	Schwan	447	German			
1630	s ʋ ɔ n	*swanaz	s ʋ ɔ n ( - - )	sʋɔn	swan	447	English			
1631	b a s t a n	*bastan	b a s t ( a n )	bastan	*bastan	448	Proto-Germanic		C V C c v c	
1632	b a s t	*bastan	b a s t ( - - )	bast	Bast	448	German		C V C C	
1633	b æ s t	*bastan	b æ s t ( - - )	bæst	bast	448	English			
1634	b ɑ s t	*bastan	b ɑ s t ( - - )	bɑst	bast	448	Dutch			
1635	l u x a z	*luxaz	l u x ( a ) z	luxaz	*luxaz	449	Proto-Germanic		C V C	
1636	l ʊ k s	*luxaz	l ʊ k ( - ) s	lʊks	Luchs	449	German			
1637	l ɔ s	*luxaz	l ɔ - ( - ) s	lɔs	los	449	Dutch			
1638	l i θ u z	*liθuz	l i θ ( u z )	liθuz	*liθuz	450	Proto-Germanic		C V C	
1639	l iː t	*liθuz	l iː d ( - - )	liːt	Lid	450	German			
1640	l ɪ d	*liθuz	l ɪ d ( - - )	lɪd	lid	450	English			
1641	l ɪ t	*liθuz	l ɪ t ( - - )	lɪt	lid	450	Dutch			
1642	f l e x t a n a n	*flextanan	f l e x t a n ( a n )	flextanan	*flextanan	451	Proto-Germanic		C C V C c v c	
1643	f l ɛ x t ə n	*flextanan	f l ɛ x t ə n ( - - )	flɛxtən	flechten	451	German			
1644	v l ɛ x t ə	*flextanan	v l ɛ x t ə - ( - - )	vlɛxtə	vlechten	451	Dutch			
1645	r eː d a n a n	*rēdanan	r eː d a n ( a n )	reːdanan	*rēdanan	452	Proto-Germanic			
1646	r aː t ə n	*rēdanan	r aː t ə n ( - - )	raːtən	raten	452	German			
1647	r iː d	*rēdanan	r iː d - - ( - - )	riːd	read	452	English			
1648	r aː d ɛ n	*rēdanan	r aː d ɛ n ( - - )	raːdɛn	raden	452	Dutch			
1649	b r e n g a n a n	*brenganan	b r e n g a n ( a n )	brenganan	*brenganan	453	Proto-Germanic		C C V C c v c	
1650	b r ɪ ŋ ə n	*brenganan	b r ɪ ŋ - ə n ( - - )	brɪŋən	bringen	453	German			
1651	b r ɪ ŋ	*brenganan	b r ɪ ŋ - - - ( - - )	brɪŋ	bring	453	English			
1652	b r ɛ ŋ ə	*brenganan	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch			
1653	s u n d r oː j a n a n	*sundrōjanan	( - - ) s u n d - r ( oː j a n a n )	sundroːjanan	*sundrōjanan	454	Proto-Germanic			
1654	z ɔ n d ə r n	*sundrōjanan	( - - ) z ɔ n d ə r ( - n - - - - )	zɔndərn	sondern	454	German			
1655	s ʌ n d ə r	*sundrōjanan	( - - ) s ʌ n d ə r ( - - - - - - )	sʌndər	sunder	454	English			
1656	ɑ f s ɔ n d ə r ə	*sundrōjanan	( ɑ f ) s ɔ n d ə r ( ə - - - - - )	ɑfsɔndərə	afzonderen	454	Dutch			
1657	θ u r n u z	*θurnuz	θ u r n ( u z )	θurnuz	*θurnuz	455	Proto-Germanic			
1658	d ɔ r n	*θurnuz	d ɔ r n ( - - )	dɔrn	Dorn	455	German			
1659	θ ɔː n	*θurnuz	θ ɔː - n ( - - )	θɔːn	thorn	455	English			
1660	d oː r n	*θurnuz	d oː r n ( - - )	doːrn	doorn	455	Dutch			
1661	w a l j a n a n	*waljanan	w a l j a n ( a n )	waljanan	*waljanan	456	Proto-Germanic			
1662	v ɔ l ə n	*waljanan	v ɔ l - ə n ( - - )	vɔlən	wollen	456	German			
1663	ʋ ɪ l	*waljanan	ʋ ɪ l - - - ( - - )	ʋɪl	will	456	English			
1664	ʋ ɪ l ə	*waljanan	ʋ ɪ l - ə - ( - - )	ʋɪlə	willen	456	Dutch			
1665	s l eː p a n a n	*slēpanan	s l eː p a n ( a n )	sleːpanan	*slēpanan	457	Proto-Germanic			
1666	ʃ l aː f ə n	*slēpanan	ʃ l aː f ə n ( - - )	ʃlaːfən	schlafen	457	German			
1667	s l iː p	*slēpanan	s l iː p - - ( - - )	sliːp	sleep	457	English			
1668	s l aː p ə	*slēpanan	s l aː p ə - ( - - )	slaːpə	slapen	457	Dutch			
1669	r oː θ r a z	*rōθraz	r oː θ - r ( a z )	roːθraz	*rōθraz	458	Proto-Germanic			
1670	r uː d ə r	*rōθraz	r uː d ə r ( - - )	ruːdər	Ruder	458	German			
1671	r ʌ d ə r	*rōθraz	r ʌ d ə r ( - - )	rʌdər	rudder	458	English			
1672	r uː r	*rōθraz	r uː - - r ( - - )	ruːr	roer	458	Dutch			
1673	t u n g oː n	*tungōn	t u n g oː ( n )	tungoːn	*tungōn	459	Proto-Germanic			
1674	ts ʊ ŋ ə	*tungōn	ts ʊ ŋ - ə ( - )	t͡sʊŋə	Zunge	459	German			
1675	t ʌ ŋ	*tungōn	t ʌ ŋ - - ( - )	tʌŋ	tongue	459	English			
1676	t ɔ ŋ	*tungōn	t ɔ ŋ - - ( - )	tɔŋ	tong	459	Dutch			
1677	k a m b a z	*kambaz	k a m b ( a z )	kambaz	*kambaz	460	Proto-Germanic		C V C C	
1678	k a m	*kambaz	k a m - ( - - )	kam	Kamm	460	German			
1679	k əʊ m	*kambaz	k əʊ m - ( - - )	kəʊm	comb	460	English			
1680	k ɑ m	*kambaz	k ɑ m - ( - - )	kɑm	kam	460	Dutch			
1681	t r e d a n a n	*tredanan	t r e d a n ( a n )	tredanan	*tredanan	461	Proto-Germanic			
1682	t r eː t ə n	*tredanan	t r eː t ə n ( - - )	treːtən	treten	461	German			
1683	t r ɛ d	*tredanan	t r ɛ d - - ( - - )	trɛd	tread	461	English			
1684	t r eː d ə	*tredanan	t r eː d ə - ( - - )	treːdə	treden	461	Dutch			
1685	b a l g i z	*balgiz	b a l g ( i z )	balgiz	*balgiz	462	Proto-Germanic			
1686	b a l k	*balgiz	b a l k ( - - )	balk	Balg	462	German		C V C C	
1687	b ɛ l ɪ	*balgiz	b ɛ l ɪ ( - - )	bɛlɪ	belly	462	English			
1688	b ɑ l x	*balgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch			
1689	f r i j oː n d z	*frijōndz	f r i ( j oː ) n d ( z )	frijoːndz	*frijōndz	463	Proto-Germanic		C C V C C 	
1690	f r ɔy n t	*frijōndz	f r ɔy ( - - ) n d ( - )	frɔynt	Freund	463	German			
1691	f r ɛ n d	*frijōndz	f r ɛ ( - - ) n d ( - )	frɛnd	friend	463	English			
1692	v r iː n t	*frijōndz	v r iː ( - - ) n t ( - )	vriːnt	vriend	463	Dutch			
1693	w u l k n a n	*wulknan	w u l k ( n a n )	wulknan	*wulknan	464	Proto-Germanic			
1694	v ɔ l k ə	*wulknan	v ɔ l k ( - ə - )	vɔlkə	Wolke	464	German	EXC		
1695	ʋ ɔ l k	*wulknan	ʋ ɔ l k ( - - - )	ʋɔlk	wolk	464	Dutch			
1696	x e l a n a n	*xelanan	x e l a n ( a n )	xelanan	*xelanan	465	Proto-Germanic			
1697	h eː l ə n	*xelanan	h eː l ə n ( - - )	heːlən	hehlen	465	German			
1698	h eː l ə	*xelanan	h eː l ə - ( - - )	heːlə	helen	465	Dutch			
1699	f e n g r a z	*fengraz	f e n g - r ( a z )	fengraz	*fengraz	466	Proto-Germanic		C V C c - c	
1700	f ɪ ŋ ə r	*fengraz	f ɪ ŋ - ə r ( - - )	fɪŋər	Finger	466	German			
1701	f ɪ ŋ ɡ ə r	*fengraz	f ɪ ŋ ɡ ə r ( - - )	fɪŋɡər	finger	466	English			
1702	v ɪ ŋ ə r	*fengraz	v ɪ ŋ - ə r ( - - )	vɪŋər	vinger	466	Dutch			
1703	l ai s j a n a n	*laisjanan	l ai s j a n ( a n )	laisjanan	*laisjanan	467	Proto-Germanic		C V c c v c	
1704	l eː r ə n	*laisjanan	l eː r - ə n ( - - )	leːrən	lehren	467	German			
1705	l eː r ə	*laisjanan	l eː r - ə - ( - - )	leːrə	leren	467	Dutch			
1706	s p i x t a z	*spixtaz	s p i x t ( a z )	spixtaz	*spixtaz	468	Proto-Germanic			
1707	ʃ p ɛ x t	*spixtaz	ʃ p ɛ x t ( - - )	ʃpɛxt	Specht	468	German			
1708	s p ɛ x t	*spixtaz	s p ɛ x t ( - - )	spɛxt	specht	468	Dutch			
1709	m a s t a z	*mastaz	m a s t ( a z )	mastaz	*mastaz	469	Proto-Germanic		C V C C	
1710	m a s t	*mastaz	m a s t ( - - )	mast	Mast	469	German			
1711	m ɑː s t	*mastaz	m ɑː s t ( - - )	mɑːst	mast	469	English			
1712	m ɑ s t	*mastaz	m ɑ s t ( - - )	mɑst	mast	469	Dutch			
1713	θ e s t i l a z	*θestilaz	θ e s t i l ( a z )	θestilaz	*θestilaz	470	Proto-Germanic			
1714	d ɪ s t ə l	*θestilaz	d ɪ s t ə l ( - - )	dɪstəl	Distel	470	German			
1715	θ ɪ s ə l	*θestilaz	θ ɪ s - ə l ( - - )	θɪsḷ	thistle	470	English			
1716	d ɪ s t ə l	*θestilaz	d ɪ s t ə l ( - - )	dɪstəl	distel	470	Dutch			
